repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,status,start_date,join_date,liveness,unique-contributors,new-commits-last-30d,min-go-version,category,subcategory
OpenFunction/OpenFunction,1360,67,26,10,1,49.265,0,83,1092,30,Go,false,18,Sandbox,2022-04-26,2022-04-26,40.000,0,0,1.19,Orchestration & Management,Scheduling & Orchestration
serverless-devs/serverless-devs,1597,19,12,6,2,11.897,0,0,1149,34,TypeScript,false,0,Sandbox,2022-09-14,2022-09-14,91.000,4,80,,Orchestration & Management,Scheduling & Orchestration
volcano-sh/volcano,3486,63,30,15,3,18.072,0,0,1736,193,Go,false,39,Incubating,2020-04-09,2020-04-09,100.000,6,36,1.20,Orchestration & Management,Scheduling & Orchestration
wasmCloud/wasmCloud,1107,25,17,14,2,22.584,0,0,1155,64,Rust,false,8,Sandbox,2021-07-13,2021-07-13,95.000,11,160,,Orchestration & Management,Scheduling & Orchestration
open-cluster-management-io/api,233,1,0,0,0,4.292,14,1,1373,50,Go,false,21,Sandbox,2021-11-09,2021-11-09,44.000,5,5,1.20,Orchestration & Management,Scheduling & Orchestration
coredns/coredns,11340,122,74,24,2,10.758,0,2,2827,351,Go,false,35,Graduated,2017-02-27,2017-02-27,100.000,4,15,1.20,Orchestration & Management,Coordination & Service Discovery
etcd-io/etcd,45316,489,337,263,18,10.791,0,0,3813,824,Go,false,21,Graduated,2018-12-11,2018-12-11,100.000,22,140,1.21,Orchestration & Management,Coordination & Service Discovery
containernetworking/cni,5131,44,16,9,0,8.575,1,3,3175,143,Go,false,4,Incubating,2017-05-23,2017-05-23,61.000,4,14,1.18,Runtime,Cloud Native Network
k8gb-io/k8gb,687,19,10,6,1,27.656,0,0,1478,21,Go,false,20,Sandbox,2021-03-30,2021-03-30,87.000,4,11,1.19,Orchestration & Management,Coordination & Service Discovery
FabEdge/fabedge,507,4,3,2,0,7.890,3,7,881,16,Go,false,31,Sandbox,2022-03-08,2022-03-08,38.000,2,11,1.17,Runtime,Cloud Native Network
xline-kv/Xline,441,38,15,6,0,86.168,1,1,588,17,Rust,false,0,Sandbox,2023-06-30,2023-06-30,75.000,5,49,,Orchestration & Management,Coordination & Service Discovery
kubeovn/kube-ovn,1722,15,10,5,0,8.711,1,0,1728,92,Go,false,50,Sandbox,2021-01-26,2021-01-26,81.000,16,60,1.21,Runtime,Cloud Native Network
grpc/grpc,39625,246,118,52,13,6.208,0,0,3293,872,C++,false,0,Incubating,2017-02-16,2017-02-16,100.000,27,104,,Orchestration & Management,Remote Procedure Call
kube-vip/kube-vip,1554,44,19,12,3,28.314,0,2,1411,72,Go,false,31,Sandbox,2021-06-26,2021-06-26,85.000,4,27,1.19,Runtime,Cloud Native Network
bfenetworks/bfe,5996,19,12,7,0,3.169,1,5,1597,100,Go,false,28,Sandbox,2020-06-25,2020-06-25,51.000,1,1,1.17,Orchestration & Management,Service Proxy
networkservicemesh/api,11,1,0,0,0,90.909,16,44,1420,25,Go,false,4,Sandbox,2019-04-11,2019-04-11,8.000,0,0,1.20,Runtime,Cloud Native Network
